[pec 98/2007]: Conhecida como PEC da Música. Altera a Constituição Federal de 1988. 
Ementa: Acrescenta a alínea "e" ao inciso VI do art. 150 da Constituição Federal, instituindo imunidade tributária sobre os Fonogramas e Videofonogramas musicais produzidos no Brasil, contendo obras musicais ou lítero-musicais de autores brasileiros, e/ou obras em geral interpretadas por artistas brasileiros, bem como os suportes materiais ou arquivos digitais que os contenham. 
Situação: MESA - Aguardando Retorno 
************
PRTB: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PTdoB: 	 Sim: 3 	 Não: 0 	 Abstenções: 0
PSL: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PSB: 	 Sim: 23 	 Não: 1 	 Abstenções: 0
PSC: 	 Sim: 11 	 Não: 0 	 Abstenções: 0
PSD: 	 Sim: 35 	 Não: 2 	 Abstenções: 0
PHS: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PSOL: 	 Sim: 2 	 Não: 0 	 Abstenções: 0
=================================================================================
[pec 61/2011]: Prorroga a vigência da DRU até 31 de dezembro de 2015. 
Ementa: Altera o art. 76 do Ato das Disposições Constitucionais Transitórias. 
Situação: Tranformada no(a) Emenda Constitucional 68/2011
************
[8/11/2011, 18:50] Rejeitado o Requerimento. Sim: 10; não: 299; abstenção: 02; total: 311.
PR: 	 Sim: 0 	 Não: 25 	 Abstenções: 0
PSDB: 	 Sim: 0 	 Não: 0 	 Abstenções: 1
PP: 	 Sim: 1 	 Não: 21 	 Abstenções: 0
PV: 	 Sim: 0 	 Não: 9 	 Abstenções: 0
PT: 	 Sim: 0 	 Não: 67 	 Abstenções: 0
PRB: 	 Sim: 0 	 Não: 8 	 Abstenções: 0
PSB: 	 Sim: 0 	 Não: 19 	 Abstenções: 0
PSC: 	 Sim: 0 	 Não: 14 	 Abstenções: 0
PDT: 	 Sim: 1 	 Não: 19 	 Abstenções: 0
PTC: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PTB: 	 Sim: 1 	 Não: 13 	 Abstenções: 0
PSD: 	 Sim: 1 	 Não: 32 	 Abstenções: 0
PCdoB: 	 Sim: 0 	 Não: 10 	 Abstenções: 0
PPS: 	 Sim: 1 	 Não: 1 	 Abstenções: 0
PTdoB: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PRP: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
DEM: 	 Sim: 2 	 Não: 0 	 Abstenções: 0
PHS: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PSOL: 	 Sim: 3 	 Não: 0 	 Abstenções: 0
PMN: 	 Sim: 0 	 Não: 1 	 Abstenções: 1
PMDB: 	 Sim: 0 	 Não: 56 	 Abstenções: 0
************
[8/11/2011, 20:24] Rejeitado o Requerimento. Sim: 09; não: 298; abstenção: 01; total: 308.
PR: 	 Sim: 0 	 Não: 26 	 Abstenções: 0
PSDB: 	 Sim: 1 	 Não: 0 	 Abstenções: 1
PP: 	 Sim: 1 	 Não: 23 	 Abstenções: 0
PRTB: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PV: 	 Sim: 0 	 Não: 7 	 Abstenções: 0
PT: 	 Sim: 0 	 Não: 63 	 Abstenções: 0
PRB: 	 Sim: 0 	 Não: 8 	 Abstenções: 0
PSB: 	 Sim: 0 	 Não: 23 	 Abstenções: 0
PSC: 	 Sim: 0 	 Não: 9 	 Abstenções: 0
